 ,Area,Mean,Min,Max,Angle,Length
1,0.124,52.711,10.362,194.977,-1.909,12.053
2,0.129,47.068,11.111,145.351,176.309,12.473
3,0.124,49.544,12.638,153.903,177.049,12.000
4,0.116,49.823,14.005,152.547,177.333,11.286
5,0.125,49.191,3.208,124.770,178.247,12.113
