 ,Area,Mean,Min,Max,Angle,Length
1,0.100,107.963,18.008,153.758,-93.162,10.435
2,0.110,113.835,16.332,172.717,-91.727,11.460
3,0.113,118.636,16.495,180.056,-91.685,11.748
4,0.103,117.191,17.928,173.206,-92.450,10.774
5,0.108,121.823,16.333,180.436,88.531,11.228
