 ,Area,Mean,Min,Max,Angle,Length
1,0.056,95.032,15.109,181.822,-5.117,5.477
2,0.052,88.145,11.425,174.657,-4.118,5.102
3,0.062,103.124,16.341,174.095,175.778,6.083
4,0.056,91.929,11.292,196.752,174.920,5.518
5,0.052,88.307,11.667,180.667,174.472,5.072
