 ,Area,Mean,Min,Max,Angle,Length
1,0.160,45.400,12.938,108.545,-5.136,13.076
2,0.158,47.854,13.562,127.198,174.375,12.939
3,0.145,53.089,12.926,110.412,174.571,11.857
4,0.163,46.215,10.591,99.181,174.331,13.333
5,0.145,51.395,12.857,126.958,174.827,11.901
