 ,Area,Mean,Min,Max,Angle,Length
1,0.103,154.313,31.423,196.683,-88.603,11.598
2,0.100,150.047,45.333,199.287,89.822,11.347
3,0.105,152.835,39.833,198.179,90.341,11.877
4,0.102,153.470,46.346,196.544,90.703,11.524
5,0.103,152.217,30.834,199.303,89.303,11.630
