 ,Area,Mean,Min,Max,Angle,Length
1,0.166,41.478,26.591,62.568,-175.898,12.901
2,0.156,41.428,24.827,67.516,6.047,12.167
3,0.143,40.513,23.718,67.254,6.078,11.137
4,0.150,40.705,23.184,70.973,-174.214,11.698
5,0.161,41.491,24.574,61.619,-174.359,12.519
