 ,Area,Mean,Min,Max,Angle,Length
1,0.098,22.362,6.700,64.301,-98.705,9.113
2,0.103,23.988,5.969,67.094,-100.444,9.511
3,0.099,25.053,3.660,94.410,-97.524,9.217
4,0.097,22.757,6.024,72.356,-100.182,9.021
5,0.094,21.718,4.735,63.350,-98.573,8.674
