 ,Area,Mean,Min,Max,Angle,Length
1,0.091,107.100,21.339,207.742,-2.974,9.189
2,0.091,98.659,19.449,210.838,-0.747,9.137
3,0.095,100.518,21.431,210.625,-1.193,9.536
4,0.096,125.263,19.111,209.871,-4.489,9.643
5,0.082,118.155,21.908,208.712,-3.576,8.279
