 ,Area,Mean,Min,Max,Angle,Length
1,0.148,51.874,11.685,169.396,85.729,14.644
2,0.160,48.999,11.669,163.568,86.055,15.853
3,0.144,51.405,17.273,138.562,84.629,14.241
4,0.159,50.174,12.667,133.942,85.365,15.745
5,0.153,49.737,13.000,168.617,86.094,15.123
