 ,Area,Mean,Min,Max,Angle,Length
1,0.040,28.055,2.000,59.333,-90.000,6.574
2,0.043,32.672,3.000,63.488,-90.807,6.967
3,0.046,36.027,3.000,72.897,-91.315,7.483
4,0.045,30.956,3.000,58.333,-90.759,7.408
5,0.044,32.463,2.722,63.385,-90.984,7.139
