 ,Area,Mean,Min,Max,Angle,Length
1,0.036,115.432,57.667,175.228,-92.353,4.587
2,0.035,114.929,57.167,171.685,-93.225,4.465
3,0.038,114.431,57.922,191.373,-91.685,4.805
4,0.036,115.250,62.169,176.511,-93.332,4.591
5,0.037,114.645,59.000,179.044,-93.600,4.749
