 ,Area,Mean,Min,Max,Angle,Length
1,0.088,83.190,35.339,133.918,6.605,10.048
2,0.087,88.244,46.979,130.003,-174.229,9.926
3,0.084,84.802,42.015,131.174,-174.664,9.603
4,0.100,89.062,49.575,129.567,-173.105,11.377
5,0.094,89.089,46.771,133.118,-172.387,10.706
