 ,Area,Mean,Min,Max,Angle,Length
1,0.094,17.408,3.026,88.727,-83.353,10.214
2,0.098,17.081,3.366,86.991,-83.333,10.657
3,0.095,17.075,3.243,80.361,-82.255,10.405
4,0.099,16.830,2.000,83.667,-84.872,10.766
5,0.096,17.157,2.395,81.060,-83.793,10.426
