 ,Area,Mean,Min,Max,Angle,Length
1,0.050,47.554,21.111,134.923,102.848,5.915
2,0.055,47.564,19.704,150.097,100.784,6.489
3,0.055,50.300,20.221,127.879,-77.998,6.568
4,0.047,47.682,21.039,109.735,-76.967,5.608
5,0.051,47.430,23.894,118.667,-76.079,6.098
