 ,Area,Mean,Min,Max,Angle,Length
1,0.030,66.913,9.614,137.109,-77.807,4.978
2,0.029,65.509,8.758,129.729,-79.103,4.656
3,0.034,75.876,11.113,135.455,-77.714,5.630
4,0.031,70.458,8.192,136.325,-78.254,5.044
5,0.029,62.025,8.888,128.701,-77.989,4.699
