 ,Area,Mean,Min,Max,Angle,Length
1,0.037,37.786,11.540,109.562,82.405,6.859
2,0.038,36.153,8.426,104.049,-96.906,7.001
3,0.035,38.500,15.628,110.115,-97.149,6.417
4,0.034,38.468,15.238,104.946,-97.076,6.307
5,0.037,37.369,9.362,109.507,-97.798,6.840
