 ,Area,Mean,Min,Max,Angle,Length
1,0.108,148.636,11.516,202.238,86.848,10.563
2,0.106,148.943,11.000,202.666,87.306,10.406
3,0.111,149.311,11.485,199.111,87.105,10.898
4,0.108,147.951,12.187,202.362,86.848,10.563
5,0.113,148.056,11.363,198.738,86.522,11.088
