Observations:,,,,,,,,,
,,,,,,,,,
Observation id,T3D14R1_sideview_1,,,,,,,,
Observation date,2023-04-04T14:03:14,,,,,,,,
Description,Trial 3 Dog 14 Run 1 side view (Waldrop),,,,,,,,
Independent variables:,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Time budget:,,,,,,,,,
Subject,Behavior,Modifiers,Total number of occurences,Total duration (s),Duration mean (s),Duration std dev,inter-event intervals mean (s),inter-event intervals std dev,% of total length
,,,,,,,,,
No focal subject,t,,9,23.500,2.611,0.953,1.588,1.204,52.900
No focal subject,c,,7,13.994,1.999,1.534,2.573,1.278,31.500
No focal subject,o,,1,1.500,1.500,NA,NA,NA,3.400
No focal subject,a,,1,1.248,1.248,NA,NA,NA,2.800
