Observations:,,,,,,,,,
,,,,,,,,,
Observation id,T3D21R1_sideview_1,,,,,,,,
Observation date,2023-04-04T14:40:54,,,,,,,,
Description,Trial 3 Dog 21 Run 1 side view (Waldrop),,,,,,,,
Independent variables:,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Time budget:,,,,,,,,,
Subject,Behavior,Modifiers,Total number of occurences,Total duration (s),Duration mean (s),Duration std dev,inter-event intervals mean (s),inter-event intervals std dev,% of total length
,,,,,,,,,
No focal subject,t,,9,39.762,4.418,2.202,1.952,1.109,69.400
No focal subject,c,,11,16.003,1.455,0.620,2.875,2.711,27.900
No focal subject,o,,3,4.751,1.584,0.805,18.058,9.626,8.300
No focal subject,a,,0,0,0,NA,-,-,0
