Observations:,,,,,,,,,
,,,,,,,,,
Observation id,T3D23R2_sideview_1,,,,,,,,
Observation date,2023-04-05T16:48:51,,,,,,,,
Description,Trial 3 Dog 23 Run 2 side view (Waldrop),,,,,,,,
Independent variables:,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Time budget:,,,,,,,,,
Subject,Behavior,Modifiers,Total number of occurences,Total duration (s),Duration mean (s),Duration std dev,inter-event intervals mean (s),inter-event intervals std dev,% of total length
,,,,,,,,,
No focal subject,t,,7,26.247,3.750,2.102,6.296,8.005,38.000
No focal subject,c,,6,21.566,3.594,1.971,4.099,1.576,31.300
No focal subject,o,,2,12.749,6.374,3.007,0.500,NA,18.500
No focal subject,a,,2,1.748,0.874,0.529,26.277,NA,2.500
