Observations:,,,,,,,,,
,,,,,,,,,
Observation id,T3D9R2_sideview_1,,,,,,,,
Observation date,2023-04-04T15:02:40,,,,,,,,
Description,Trial 3 Dog 9 Run 2 side view (Waldrop),,,,,,,,
Independent variables:,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Time budget:,,,,,,,,,
Subject,Behavior,Modifiers,Total number of occurences,Total duration (s),Duration mean (s),Duration std dev,inter-event intervals mean (s),inter-event intervals std dev,% of total length
,,,,,,,,,
No focal subject,t,,3,7.998,2.666,0.521,2.000,0.354,39.300
No focal subject,c,,4,4.747,1.187,0.554,1.168,0.947,23.300
No focal subject,o,,4,7.004,1.751,0.456,2.332,0.519,34.400
No focal subject,a,,1,0.249,0.249,NA,NA,NA,1.200
