Observations:,,,,,,,,,
,,,,,,,,,
Observation id,T3D2R2_sideview_1,,,,,,,,
Observation date,2023-04-04T13:12:16,,,,,,,,
Description,Trial 3 Dog 2 Run 2 side view (Waldrop),,,,,,,,
Independent variables:,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Time budget:,,,,,,,,,
Subject,Behavior,Modifiers,Total number of occurences,Total duration (s),Duration mean (s),Duration std dev,inter-event intervals mean (s),inter-event intervals std dev,% of total length
,,,,,,,,,
No focal subject,t,,12,57.245,4.770,7.318,1.040,0.895,78.000
No focal subject,c,,17,10.497,0.617,0.366,3.391,4.531,14.300
No focal subject,o,,1,1.001,1.001,NA,NA,NA,1.400
No focal subject,a,,0,0,0,NA,-,-,0
