Observations:,,,,,,,,,
,,,,,,,,,
Observation id,T3D22R1_sideview_1,,,,,,,,
Observation date,2023-04-05T15:53:43,,,,,,,,
Description,Trial 3 Dog 22 Run 1 side view (Waldrop),,,,,,,,
Independent variables:,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Time budget:,,,,,,,,,
Subject,Behavior,Modifiers,Total number of occurences,Total duration (s),Duration mean (s),Duration std dev,inter-event intervals mean (s),inter-event intervals std dev,% of total length
,,,,,,,,,
No focal subject,t,,8,27.497,3.437,2.573,3.445,2.232,47.900
No focal subject,c,,5,17.504,3.501,2.710,7.124,5.740,30.500
No focal subject,o,,2,2.249,1.124,0.175,16.026,NA,3.900
No focal subject,a,,3,2.249,0.750,0.251,9.375,9.721,3.900
