Observations:,,,,,,,,,
,,,,,,,,,
Observation id,T3D21R2_sideview_1,,,,,,,,
Observation date,2023-04-05T10:47:00,,,,,,,,
Description,Trial 3 Dog 21 Run 2 side view (Waldrop),,,,,,,,
Independent variables:,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Time budget:,,,,,,,,,
Subject,Behavior,Modifiers,Total number of occurences,Total duration (s),Duration mean (s),Duration std dev,inter-event intervals mean (s),inter-event intervals std dev,% of total length
,,,,,,,,,
No focal subject,t,,4,14.867,3.717,1.711,5.916,1.892,33.300
No focal subject,c,,6,17.118,2.853,1.778,2.549,1.962,38.400
No focal subject,o,,3,4.748,1.583,1.283,10.126,1.942,10.600
No focal subject,a,,0,0,0,NA,-,-,0
