Observations:,,,,,,,,,
,,,,,,,,,
Observation id,T3D23R1_sideview_1,,,,,,,,
Observation date,2023-04-05T16:11:57,,,,,,,,
Description,Trial 3 Dog 23 Run 1 side view (Waldrop),,,,,,,,
Independent variables:,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Time budget:,,,,,,,,,
Subject,Behavior,Modifiers,Total number of occurences,Total duration (s),Duration mean (s),Duration std dev,inter-event intervals mean (s),inter-event intervals std dev,% of total length
,,,,,,,,,
No focal subject,t,,14,53.253,3.804,2.533,2.470,1.204,57.500
No focal subject,c,,15,22.247,1.483,0.928,4.173,3.905,24.000
No focal subject,o,,3,2.212,0.737,0.444,22.073,20.046,2.400
No focal subject,a,,3,3.000,1.000,0.500,21.949,30.123,3.200
