trial,run,dog
3,1,1
3,1,2
3,1,9
3,1,11
3,1,12
3,1,14
3,1,15
3,1,17
3,1,19
3,1,20
3,1,21
3,1,22
3,1,23
3,1,24
3,2,1
3,2,2
3,2,9
3,2,11
3,2,12
3,2,14
3,2,15
3,2,17
3,2,19
3,2,20
3,2,21
3,2,22
3,2,23
3,2,24
