"dog","task","run","trained","hot_dist","blank_dist","bromo_dist","methben_dist","chemical"
"1","t","1",FALSE,1.01670169857364,0.740835778146842,0.364940066665084,0.513726681831118,"2E1H"
"1","t","1",TRUE,0.712430163606839,0.590361257275526,0.637562399780895,0.555915584890789,"2E1H"
"1","t","2",FALSE,0.953927053249627,0.83917082755406,0.659880010770419,0.746353510938602,"Ammonia"
"1","t","2",TRUE,0.494898739847673,0.453478013965081,0.694596405179637,0.525840731643519,"Ammonia"
"1","c","1",FALSE,0.583127750894271,0.355993056858772,0.409893084521503,0.231821179507167,"2E1H"
"1","c","1",TRUE,0.482480628181082,0.397761928801228,0.577159513225362,0.423604218964849,"2E1H"
"1","c","2",FALSE,0.547758966471972,0.33960929469331,0.336391534134344,0.258927495826095,"Ammonia"
"1","c","2",TRUE,0.679707338694623,0.413037235727245,0.242004546162569,0.229112921528811,"Ammonia"
"1","o","1",TRUE,0.546458192921143,0.302268443260334,0.327203911354714,0.172906392279473,"2E1H"
"1","o","2",TRUE,0.242396109417727,0.183652895876194,0.633559745015211,0.359363771969752,"Ammonia"
"1","a","2",TRUE,0.320858810995066,0.285080378673818,0.71130615023802,0.464670859677238,"Ammonia"
"11","t","1",FALSE,0.477278916235556,0.431175508935714,0.589780786792894,0.46601867196918,"2E1H"
"11","t","1",TRUE,0.506772288517263,0.359008565550804,0.538971686510901,0.366014075351061,"2E1H"
"11","t","2",FALSE,0.110475218987278,0.237320016307926,0.740423961868037,0.483329663305475,"Ammonia"
"11","t","2",TRUE,0.632161320043442,0.422035118535803,0.459099940736317,0.340693613747701,"Ammonia"
"11","c","1",FALSE,0.554073694164541,0.328879042679384,0.386442370002135,0.268828121086557,"2E1H"
"11","c","1",TRUE,0.406011019722133,0.329858322241806,0.610610132959634,0.408798007394495,"2E1H"
"11","c","2",FALSE,0.494233204460524,0.357080845754753,0.339975441377543,0.278946900887557,"Ammonia"
"11","c","2",TRUE,0.873280110057596,0.595011238722375,0.0913961952249104,0.321395041611486,"Ammonia"
"11","o","1",TRUE,0.248753516950011,0.222273168352758,0.615796826926412,0.365563297523986,"2E1H"
"11","o","2",FALSE,0.434585952001466,0.35750894294286,0.3590272261281,0.343135662023602,"Ammonia"
"11","o","2",TRUE,0.448643999331053,0.314961348125671,0.424614057982393,0.2704476459317,"Ammonia"
"12","t","1",TRUE,0.406884239696665,0.460036010305959,0.834569538488554,0.603379908087319,"2E1H"
"12","t","2",TRUE,0.291337176214268,0.40798398662394,0.901440454023218,0.641077666673311,"Ammonia"
"12","c","1",TRUE,0.377588210416683,0.323632479970191,0.62198331294021,0.410169352217539,"2E1H"
"12","c","2",FALSE,0.490642558063847,0.310273194920108,0.319862371508868,0.239557909253123,"Ammonia"
"12","c","2",TRUE,0.724408775612213,0.469077799411776,0.267304288452705,0.282738593279447,"Ammonia"
"12","o","1",TRUE,0.53606930310321,0.344130168072081,0.354897523733442,0.231036020563054,"2E1H"
"12","o","2",TRUE,0.38142026634376,0.252862215309524,0.486462390767049,0.2874305548414,"Ammonia"
"14","t","1",TRUE,0.37705985033438,0.282687791638791,0.594269027240821,0.335702411034007,"2E1H"
"14","t","2",TRUE,0.341615098591292,0.477790514404015,0.962681255061481,0.708601188551543,"Ammonia"
"14","c","1",FALSE,0.565651980515985,0.375023701839814,0.42343700646294,0.320905037688176,"2E1H"
"14","c","1",TRUE,0.536123770395306,0.370476678475009,0.440350690448955,0.27595572573754,"2E1H"
"14","c","2",FALSE,0.402529335750286,0.241438021923291,0.408865796977236,0.23267529463144,"Ammonia"
"14","c","2",TRUE,0.607756220504118,0.362067742738144,0.283555182740771,0.215476405665266,"Ammonia"
"14","o","1",FALSE,0.808025245836004,0.517443285058083,0.109222662485156,0.231007456153917,"2E1H"
"14","o","2",FALSE,0.414380167634436,0.233351808465304,0.389996235131106,0.273697367530847,"Ammonia"
"14","o","2",TRUE,0.279136610835078,0.204410962157192,0.580429759494374,0.311040714667875,"Ammonia"
"14","a","1",FALSE,0.661612034643652,0.383503262526562,0.291634802251657,0.160040186756578,"2E1H"
"14","a","2",TRUE,0.542634845483115,0.362642912212331,0.526383932845,0.354989995255322,"Ammonia"
"15","t","1",TRUE,1.02514565355707,0.836350807477337,0.618010231825955,0.690102555568477,"2E1H"
"15","t","2",FALSE,0.0450886924847638,0.279647276913626,0.80176870298125,0.539475293579993,"Ammonia"
"15","t","2",TRUE,0.421035213129856,0.443533152270649,0.817383783630488,0.592257595886541,"Ammonia"
"15","c","1",FALSE,0.7833520326424,0.498732997252323,0.234267759142963,0.25847019987598,"2E1H"
"15","c","1",TRUE,0.54238235896673,0.404392873883143,0.46501350510147,0.376452076383131,"2E1H"
"15","c","2",FALSE,0.343526906747383,0.240718280823163,0.466872707462931,0.274992477448388,"Ammonia"
"15","c","2",TRUE,0.715021183322734,0.541561819960078,0.423604668197717,0.429728480309449,"Ammonia"
"15","o","1",FALSE,0.812085577477169,0.521218580761362,0.0988625459590882,0.23059502867864,"2E1H"
"15","o","1",TRUE,0.547821623559734,0.303532951104592,0.356477212086511,0.23049349538208,"2E1H"
"15","o","2",TRUE,0.307212435327343,0.242599527553798,0.573979550336466,0.336172067243905,"Ammonia"
"15","a","2",TRUE,0.449718532326688,0.387601643748738,0.723238345744919,0.508842403333681,"Ammonia"
"17","t","1",TRUE,0.595748202407328,0.503328622904643,0.607281022674335,0.493724232939508,"2E1H"
"17","t","2",FALSE,0.513672929918765,0.286787658870152,0.3322209940952,0.179219577429645,"Ammonia"
