"frame","time","x","y","z","point","trial","dog","run","trained","task"
1071,35.7023690357024,-0.731149475515082,0.476955663858245,0.322779474467021,"nose","3","1","1",TRUE,"t"
1072,35.7357357357357,-0.718931203766954,0.431389196807474,0.322291442705914,"nose","3","1","1",TRUE,"t"
1073,35.7691024357691,-0.72820170086738,0.395396923654031,0.303058251687288,"nose","3","1","1",TRUE,"t"
1074,35.8024691358025,-0.730823802884953,0.356675794177127,0.291901505430325,"nose","3","1","1",TRUE,"t"
1075,35.8358358358358,-0.740324044543577,0.31519216617576,0.27576298860653,"nose","3","1","1",TRUE,"t"
1076,35.8692025358692,-0.738487735378967,0.264607828202197,0.277516931715182,"nose","3","1","1",TRUE,"t"
1077,35.9025692359026,-0.753178776109319,0.21927728538137,0.274278947646617,"nose","3","1","1",TRUE,"t"
1078,35.9359359359359,-0.78367026707924,0.174748804231212,0.276203450411285,"nose","3","1","1",TRUE,"t"
1079,35.9693026359693,-0.817585907594051,0.137222181152147,0.288047156493079,"nose","3","1","1",TRUE,"t"
1080,36.0026693360027,-0.855351762625657,0.107409645553811,0.294989236363672,"nose","3","1","1",TRUE,"t"
1081,36.036036036036,-0.88800741889682,0.0798745156230568,0.311012335508224,"nose","3","1","1",TRUE,"t"
1082,36.0694027360694,-0.900829145645048,0.0591771628455847,0.337096530630916,"nose","3","1","1",TRUE,"t"
1083,36.1027694361028,-0.927224716447845,0.038771877393216,0.337823219423925,"nose","3","1","1",TRUE,"t"
1084,36.1361361361361,-0.940441538570489,0.019938659972249,0.346060004509926,"nose","3","1","1",TRUE,"t"
1085,36.1695028361695,-0.952960051796323,0.0132451866652662,0.359284734817321,"nose","3","1","1",TRUE,"t"
1086,36.2028695362029,-0.954943398753649,0.0120299188239053,0.367198781122507,"nose","3","1","1",TRUE,"t"
1087,36.2362362362362,-0.966192433605057,0.00678835259307962,0.367948361911797,"nose","3","1","1",TRUE,"t"
1088,36.2696029362696,-0.969327201910629,0.00176214800039012,0.36934719287471,"nose","3","1","1",TRUE,"t"
1089,36.302969636303,-0.970846901938826,-7.33896151233412e-05,0.372526650609346,"nose","3","1","1",TRUE,"t"
1112,37.0704037370704,-0.673657397654015,0.0289909925221076,0.619256766622631,"nose","3","1","1",TRUE,"c"
1113,37.1037704371038,-0.645860631513317,0.0234621691408646,0.622795370039005,"nose","3","1","1",TRUE,"c"
1114,37.1371371371371,-0.622039345687496,0.0250521761807161,0.632913994709274,"nose","3","1","1",TRUE,"c"
1115,37.1705038371705,-0.595680691451283,0.027617762250488,0.647235470924188,"nose","3","1","1",TRUE,"c"
1116,37.2038705372039,-0.576304265212038,0.0257078735318587,0.665470037556756,"nose","3","1","1",TRUE,"c"
1117,37.2372372372372,-0.559871418732729,0.0212690127827989,0.684532686109303,"nose","3","1","1",TRUE,"c"
1118,37.2706039372706,-0.552397156347067,0.0165589140535623,0.696697579810077,"nose","3","1","1",TRUE,"c"
1119,37.303970637304,-0.551856602597596,0.0144880237795648,0.695056737917329,"nose","3","1","1",TRUE,"c"
1120,37.3373373373373,-0.549289605752197,0.0259195232069106,0.672947717924613,"nose","3","1","1",TRUE,"c"
1121,37.3707040373707,-0.53090219909454,0.0428683301074275,0.643694132331477,"nose","3","1","1",TRUE,"c"
1122,37.4040707374041,-0.516211667702316,0.0546366237084903,0.622147223338926,"nose","3","1","1",TRUE,"c"
1123,37.4374374374374,-0.500056632232424,0.0533619242512507,0.603272116338958,"nose","3","1","1",TRUE,"c"
1124,37.4708041374708,-0.477588612327473,0.0479490654453684,0.588219862949571,"nose","3","1","1",TRUE,"c"
1125,37.5041708375042,-0.453312561614226,0.046196047374424,0.57192267928457,"nose","3","1","1",TRUE,"c"
1126,37.5375375375375,-0.432804289050168,0.0451805598009779,0.55723888973873,"nose","3","1","1",TRUE,"c"
1127,37.5709042375709,-0.39714590452708,0.0419736355489654,0.553981584250231,"nose","3","1","1",TRUE,"c"
1128,37.6042709376043,-0.362876399917377,0.0369432481916158,0.558778101511809,"nose","3","1","1",TRUE,"c"
1129,37.6376376376376,-0.341865645795705,0.0231524259545585,0.565505324658436,"nose","3","1","1",TRUE,"c"
1130,37.671004337671,-0.324595876620337,0.0171347052943603,0.568161832080851,"nose","3","1","1",TRUE,"c"
1131,37.7043710377044,-0.291883647797135,0.0193540721808479,0.570676150286968,"nose","3","1","1",TRUE,"c"
1132,37.7377377377377,-0.256758575121553,0.0227232803975016,0.573334132891863,"nose","3","1","1",TRUE,"c"
1133,37.7711044377711,-0.223133087715057,0.0294483539228037,0.578818295613267,"nose","3","1","1",TRUE,"c"
1134,37.8044711378045,-0.196589084510815,0.0284140816326741,0.580793037298408,"nose","3","1","1",TRUE,"c"
1135,37.8378378378378,-0.175656236332867,0.022691155049844,0.587250854846662,"nose","3","1","1",TRUE,"c"
1136,37.8712045378712,-0.158611380235368,0.0191467798760531,0.588070367654965,"nose","3","1","1",TRUE,"c"
1137,37.9045712379046,-0.141591784928063,0.0223272121424456,0.589988676069801,"nose","3","1","1",TRUE,"c"
1138,37.9379379379379,-0.121991580580077,0.0238506212929497,0.592953973201183,"nose","3","1","1",TRUE,"c"
1139,37.9713046379713,-0.111093245912137,0.0173624857657004,0.59684745401475,"nose","3","1","1",TRUE,"c"
1140,38.0046713380047,-0.100649111613039,0.0105271373236463,0.601138425981347,"nose","3","1","1",TRUE,"c"
1141,38.038038038038,-0.0873625755431049,0.0110900927242947,0.599105930353007,"nose","3","1","1",TRUE,"c"
1142,38.0714047380714,-0.0678379988750478,0.0129648833965444,0.593666046910469,"nose","3","1","1",TRUE,"c"
1143,38.1047714381048,-0.0565654020199569,0.0198223841168785,0.577806573085237,"nose","3","1","1",TRUE,"c"
1144,38.1381381381381,-0.0443135938885449,0.0296857856781206,0.566102562099564,"nose","3","1","1",TRUE,"c"
1145,38.1715048381715,-0.0290987403988052,0.0347926534907191,0.559372743199296,"nose","3","1","1",TRUE,"c"
1146,38.2048715382049,-0.00930729834923075,0.0310336674025222,0.561057658089455,"nose","3","1","1",TRUE,"c"
1147,38.2382382382382,0.0106830539900453,0.0232170372580992,0.561484810915618,"nose","3","1","1",TRUE,"c"
1148,38.2716049382716,0.034623303301082,0.0227803929996468,0.560481056604561,"nose","3","1","1",TRUE,"c"
1149,38.304971638305,0.0625612767555717,0.0279713160846823,0.559290007159123,"nose","3","1","1",TRUE,"c"
1150,38.3383383383383,0.0747350223478037,0.02426900523252,0.563294505331126,"nose","3","1","1",TRUE,"c"
1151,38.3717050383717,0.0880596437842068,0.0185842986420365,0.564774104113452,"nose","3","1","1",TRUE,"c"
1152,38.4050717384051,0.101499218550911,0.0181124781198367,0.567088605028334,"nose","3","1","1",TRUE,"c"
1153,38.4384384384384,0.1323585169239,0.0254873602822524,0.559137326262164,"nose","3","1","1",TRUE,"c"
1154,38.4718051384718,0.161564898604507,0.0319601975628279,0.550640591320677,"nose","3","1","1",TRUE,"c"
1155,38.5051718385052,0.187775194922143,0.0339560737587098,0.538687168666374,"nose","3","1","1",TRUE,"c"
1156,38.5385385385385,0.211591650689491,0.0370735833747562,0.524006229579386,"nose","3","1","1",TRUE,"c"
1157,38.5719052385719,0.238527898766295,0.0417648970938013,0.509955908119207,"nose","3","1","1",TRUE,"c"
1158,38.6052719386053,0.262093269605881,0.0435621252450773,0.500710768900945,"nose","3","1","1",TRUE,"c"
1159,38.6386386386386,0.281099127252182,0.043620520260956,0.494981703169899,"nose","3","1","1",TRUE,"c"
1160,38.672005338672,0.301364571493653,0.0411069752965517,0.493556327988498,"nose","3","1","1",TRUE,"c"
1161,38.7053720387054,0.321238177671476,0.0316387999659165,0.492636084870002,"nose","3","1","1",TRUE,NA
1162,38.7387387387387,0.3404179553484,0.0286988272645613,0.491322457152925,"nose","3","1","1",TRUE,NA
1163,38.7721054387721,0.364386115156061,0.0257455866280768,0.489297015182035,"nose","3","1","1",TRUE,NA
1164,38.8054721388055,0.388203552021793,0.0242774940072942,0.485105792066562,"nose","3","1","1",TRUE,NA
1165,38.8388388388388,0.406621458702359,0.0196020740146119,0.476082041050605,"nose","3","1","1",TRUE,NA
1166,38.8722055388722,0.42052710145057,0.0112425728161702,0.467813613722971,"nose","3","1","1",TRUE,NA
1167,38.9055722389056,0.436225118706039,0.00765633806137256,0.456343935064417,"nose","3","1","1",TRUE,NA
1168,38.9389389389389,0.453109739340701,0.0042070181350366,0.440515319866955,"nose","3","1","1",TRUE,NA
1169,38.9723056389723,0.473612161753858,-0.00156183616277944,0.420311255367874,"nose","3","1","1",TRUE,NA
1205,40.1735068401735,0.229056756117865,0.0412351830528957,0.705893368276697,"nose","3","1","1",TRUE,"t"
1206,40.2068735402069,0.229462009690114,0.0411576935497822,0.66724725271615,"nose","3","1","1",TRUE,"c"
1207,40.2402402402402,0.21192078730331,0.0407606469148366,0.649721966066673,"nose","3","1","1",TRUE,"c"
1208,40.2736069402736,0.197031529191701,0.0336421507039152,0.636607736215821,"nose","3","1","1",TRUE,"c"
1209,40.306973640307,0.170790062480201,0.0254544221492069,0.643239478893553,"nose","3","1","1",TRUE,"c"
1210,40.3403403403403,0.156799638254567,0.0248522891885686,0.633916511185548,"nose","3","1","1",TRUE,"c"
1211,40.3737070403737,0.131653162225645,0.0268145694734146,0.640915636445932,"nose","3","1","1",TRUE,"c"
1212,40.4070737404071,0.106826692625951,0.0284630966125681,0.65941676083033,"nose","3","1","1",TRUE,"c"
1213,40.4404404404404,0.096569864187115,0.0236386976596975,0.66972909127111,"nose","3","1","1",TRUE,"c"
1214,40.4738071404738,0.0870656603661119,0.0223095433397255,0.674775124517387,"nose","3","1","1",TRUE,"c"
1215,40.5071738405072,0.078663677657126,0.0288399674337968,0.67091035910284,"nose","3","1","1",TRUE,"c"
1216,40.5405405405405,0.0582743356151839,0.0405179197035559,0.665784854261176,"nose","3","1","1",TRUE,"c"
1217,40.5739072405739,0.036350365545581,0.04902732287464,0.661632941441872,"nose","3","1","1",TRUE,"c"
1218,40.6072739406073,0.00963134095160922,0.0506762831968944,0.661534709052286,"nose","3","1","1",TRUE,"c"
1219,40.6406406406406,-0.0153774775317939,0.0446313043770091,0.661716684686187,"nose","3","1","1",TRUE,"c"
1220,40.674007340674,-0.03579808430515,0.0319420840156212,0.654968795340021,"nose","3","1","1",TRUE,"c"
1221,40.7073740407074,-0.059491958895745,0.0253756777524277,0.650028037233024,"nose","3","1","1",TRUE,"c"
1222,40.7407407407407,-0.0811115962061192,0.027503546118279,0.641684480809923,"nose","3","1","1",TRUE,"c"
1223,40.7741074407741,-0.10712680091894,0.0320585617888076,0.637069889279649,"nose","3","1","1",TRUE,"c"
1224,40.8074741408075,-0.133907165015633,0.0296667882617624,0.635464515415439,"nose","3","1","1",TRUE,"c"
1225,40.8408408408408,-0.153317496898102,0.0252557929782082,0.631496737974497,"nose","3","1","1",TRUE,"c"
1226,40.8742075408742,-0.177876149034749,0.0264010167491571,0.626230521709887,"nose","3","1","1",TRUE,"c"
1227,40.9075742409076,-0.210153773146752,0.0326845812674129,0.615367160368701,"nose","3","1","1",TRUE,"c"
1228,40.940940940941,-0.242028034471145,0.0398620677184052,0.608313770029997,"nose","3","1","1",TRUE,"c"
1229,40.9743076409743,-0.277270559376861,0.0412233558634512,0.601865284404975,"nose","3","1","1",TRUE,"c"
1230,41.0076743410077,-0.30144792087538,0.0386005298497471,0.609477656155736,"nose","3","1","1",TRUE,"c"
1231,41.041041041041,-0.329256557112867,0.0317089946110059,0.619998446604383,"nose","3","1","1",TRUE,"c"
1232,41.0744077410744,-0.360147624345097,0.0333910736280709,0.625470161914425,"nose","3","1","1",TRUE,"c"
1233,41.1077744411078,-0.389624416750053,0.0358144623221879,0.628270012580507,"nose","3","1","1",TRUE,"c"
1234,41.1411411411411,-0.421171515332044,0.0357344502303264,0.627416252588884,"nose","3","1","1",TRUE,"c"
1235,41.1745078411745,-0.448945121051739,0.0327291334925428,0.628369280727271,"nose","3","1","1",TRUE,"c"
1236,41.2078745412079,-0.474054967019607,0.0292519648299334,0.63561687809203,"nose","3","1","1",TRUE,"c"
1237,41.2412412412412,-0.498958486301036,0.0239085010956682,0.641635132134533,"nose","3","1","1",TRUE,"c"
1238,41.2746079412746,-0.519515804548996,0.0242185713946325,0.645788940009461,"nose","3","1","1",TRUE,"c"
1239,41.307974641308,-0.543154960748766,0.0255055106469993,0.649054437754613,"nose","3","1","1",TRUE,"c"
1240,41.3413413413413,-0.569990387377364,0.0300782005578234,0.646922526958971,"nose","3","1","1",TRUE,"c"
1241,41.3747080413747,-0.591954267584594,0.0257351162163591,0.645620967261774,"nose","3","1","1",TRUE,"c"
1242,41.4080747414081,-0.621082990503896,0.0237368195676411,0.638687461756313,"nose","3","1","1",TRUE,"c"
1243,41.4414414414414,-0.678694926006346,0.0354236980290523,0.610210117963576,"nose","3","1","1",TRUE,"c"
1244,41.4748081414748,-0.721397112154217,0.0458980370362184,0.591299576523533,"nose","3","1","1",TRUE,"c"
1300,43.3433433433433,-0.76133722662027,0.062471150328302,0.549746672458399,"nose","3","1","1",TRUE,"t"
1301,43.3767100433767,-0.727297860781543,0.0473654556201991,0.552521824108824,"nose","3","1","1",TRUE,"t"
1302,43.4100767434101,-0.697816807077659,0.0332333209573092,0.556154981190295,"nose","3","1","1",TRUE,"t"
1303,43.4434434434434,-0.665623792882798,0.0280518998720645,0.563015266212573,"nose","3","1","1",TRUE,"t"
1304,43.4768101434768,-0.647329371515825,0.0259597026476772,0.567885628788591,"nose","3","1","1",TRUE,"c"
1305,43.5101768435102,-0.624210806368777,0.0221943954735476,0.574770507903447,"nose","3","1","1",TRUE,"c"
1306,43.5435435435435,-0.602790342791421,0.0194282421243792,0.585677946364426,"nose","3","1","1",TRUE,"c"
1307,43.5769102435769,-0.586948859051735,0.0160964122469039,0.595086290086507,"nose","3","1","1",TRUE,"c"
1308,43.6102769436103,-0.575108258474495,0.0139330576868749,0.596443043571066,"nose","3","1","1",TRUE,"c"
1309,43.6436436436436,-0.553739143759911,0.0191270142152694,0.606497880113552,"nose","3","1","1",TRUE,"c"
1310,43.677010343677,-0.531172590181007,0.0250765390947018,0.620752388147134,"nose","3","1","1",TRUE,"c"
1311,43.7103770437104,-0.522276972666124,0.0285113469846261,0.63055123118028,"nose","3","1","1",TRUE,"c"
1312,43.7437437437437,-0.518076045681621,0.0269562191808854,0.645153355237584,"nose","3","1","1",TRUE,"c"
1313,43.7771104437771,-0.514205014985147,0.0247658413238376,0.667760872465053,"nose","3","1","1",TRUE,"c"
1314,43.8104771438105,-0.515962927090667,0.0257286884583459,0.685591615562996,"nose","3","1","1",TRUE,"c"
1315,43.8438438438438,-0.523317573901181,0.0145291383331867,0.706717419743823,"nose","3","1","1",TRUE,"c"
1316,43.8772105438772,-0.526808000725098,0.0138487096514927,0.704691858242409,"nose","3","1","1",TRUE,"c"
1317,43.9105772439106,-0.529381627494503,0.0228940016557876,0.688239215269049,"nose","3","1","1",TRUE,"c"
1318,43.943943943944,-0.51867603487598,0.0397049867145035,0.668298326772248,"nose","3","1","1",TRUE,"c"
1319,43.9773106439773,-0.507251722297076,0.0526900242724239,0.656986914582831,"nose","3","1","1",TRUE,"o"
1320,44.0106773440107,-0.490912931866073,0.0578451391322263,0.643937333821979,"nose","3","1","1",TRUE,"o"
1321,44.044044044044,-0.472367160007744,0.0560820240400145,0.634606824492343,"nose","3","1","1",TRUE,"o"
1322,44.0774107440774,-0.449103985069228,0.0559937109917071,0.624765599691257,"nose","3","1","1",TRUE,"o"
1323,44.1107774441108,-0.428574084993034,0.0533937927594024,0.611488491608289,"nose","3","1","1",TRUE,"o"
1324,44.1441441441441,-0.410289999084604,0.0486684986181269,0.602713243248751,"nose","3","1","1",TRUE,"o"
1325,44.1775108441775,-0.385685826443298,0.0468193356667486,0.599988986466419,"nose","3","1","1",TRUE,"o"
1326,44.2108775442109,-0.36077470269226,0.0462533246924538,0.595972299020593,"nose","3","1","1",TRUE,"o"
1327,44.2442442442442,-0.333021906650936,0.0485999030446952,0.589873125558112,"nose","3","1","1",TRUE,"o"
1328,44.2776109442776,-0.310604038837824,0.0443267132760123,0.586800831152517,"nose","3","1","1",TRUE,"o"
1329,44.310977644311,-0.285987867559133,0.0447179154679233,0.582428933918681,"nose","3","1","1",TRUE,"o"
1330,44.3443443443443,-0.259817733452479,0.0425297121688081,0.582511378818333,"nose","3","1","1",TRUE,"o"
1331,44.3777110443777,-0.229604479366402,0.0403067116716442,0.585875792484899,"nose","3","1","1",TRUE,"o"
1332,44.4110777444111,-0.199125270555735,0.0345390240539902,0.594627041985451,"nose","3","1","1",TRUE,"o"
1333,44.4444444444444,-0.176308505487383,0.0303222747481266,0.606259933075249,"nose","3","1","1",TRUE,"o"
1334,44.4778111444778,-0.160870666169993,0.0242370996163554,0.622890936978385,"nose","3","1","1",TRUE,"o"
1335,44.5111778445112,-0.149873884500334,0.0241249829323496,0.627632114022012,"nose","3","1","1",TRUE,"o"
1336,44.5445445445446,-0.131086788043991,0.032303611765194,0.612621577917175,"nose","3","1","1",TRUE,"o"
1337,44.5779112445779,-0.119687931682835,0.028879736238763,0.598573936868328,"nose","3","1","1",TRUE,"o"
1338,44.6112779446113,-0.117755350668085,0.0192455926006341,0.595687218319296,"nose","3","1","1",TRUE,"o"
1339,44.6446446446447,-0.108570301752639,0.0195173995463416,0.588138649024049,"nose","3","1","1",TRUE,"o"
1340,44.678011344678,-0.101431213754574,0.0193328276258916,0.584854695802387,"nose","3","1","1",TRUE,"o"
1341,44.7113780447114,-0.100622028525817,0.0225155323994812,0.584359033024148,"nose","3","1","1",TRUE,"o"
1342,44.7447447447448,-0.105113145531693,0.0228463376406589,0.593549030898573,"nose","3","1","1",TRUE,"o"
1343,44.7781114447781,-0.125901517975733,0.0225378114872635,0.607275686854798,"nose","3","1","1",TRUE,"o"
1344,44.8114781448115,-0.149546193598204,0.0207409190327905,0.623039887634261,"nose","3","1","1",TRUE,"o"
1345,44.8448448448449,-0.173846717613468,0.0198234615807877,0.63737598268861,"nose","3","1","1",TRUE,"o"
1346,44.8782115448782,-0.2062108616256,0.0171191576797809,0.648761178504798,"nose","3","1","1",TRUE,"o"
1347,44.9115782449116,-0.24940854655751,0.0137558294027611,0.650428288706456,"nose","3","1","1",TRUE,"o"
1348,44.944944944945,-0.284648223757104,0.0120542746654074,0.663297847686629,"nose","3","1","1",TRUE,"o"
1349,44.9783116449783,-0.302160671302462,0.0164671197228235,0.662846551253742,"nose","3","1","1",TRUE,"o"
